"s__acnes" "s__aeria" "s__agalactiae" "s__alactolyticus" "s__aminovorans" "s__amylovorum" "s__anaerobius" "s__anginosus" "s__aquatilis" "s__aureus" "s__aurimucosum" "s__biforme" "s__boronitolerans" "s__bromii" "s__caccae" "s__callidus" "s__cecorum" "s__cinerea" "s__copri" "s__coprophilus" "s__delbrueckii" "s__dentocariosa" "s__depolymerans" "s__diminuta" "s__diospyrosa" "s__dispar" "s__distasonis" "s__dolichum" "s__durum" "s__eggerthii" "s__endodontalis" "s__epidermidis" "s__equi" "s__faecis" "s__farmeri" "s__fascians" "s__fragilis" "s__gallinarum" "s__garvieae" "s__genomosp." "s__globerulus" "s__gnavus" "s__granulosum" "s__haemolyticus" "s__helveticus" "s__iners" "s__infantis" "s__influenzae" "s__intermedia" "s__johnsonii" "s__komagatae" "s__kroppenstedtii" "s__kuhniae" "s__lividum" "s__longum" "s__luteciae" "s__luteus" "s__marcescens" "s__melaninogenica" "s__minor" "s__mirabilis" "s__moniliformis" "s__moorei" "s__mucilaginosa" "s__muciniphila" "s__multacida" "s__multivorum" "s__multocida" "s__nanceiensis" "s__nigrescens" "s__noxia" "s__ochracea" "s__ovatus" "s__pallens" "s__paradoxus" "s__parahaemolyticus" "s__parainfluenzae" "s__parvula" "s__plebeius" "s__pneumotropica" "s__prausnitzii" "s__producta" "s__pylori" "s__rhizosphaerae" "s__rimae" "s__rosea" "s__salivarius" "s__segnis" "s__sobrinus" "s__socranskii" "s__stercorea" "s__subflava" "s__tannerae" "s__uniformis" "s__venetianus" "s__viridiflava" "s__zeae"
"SRS022876.SRX022223" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 0 0 2.32192809488736 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 7.19967234483636 0 0 0 0 0 0 0 0 0 0 5.93073733756289 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 6.58496250072116 2.32192809488736 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 3.4594316186373 0 0 0 0 0
"SRS022816.SRX022223" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.20945336562895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 6.3037807481771 10.0701209444768 2.32192809488736 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0
"SRS023260.SRX022223" 1.58496250072116 5.39231742277876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 3.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 3.58496250072116 9.49785183695112 3.8073549220576 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 2 0 0 0 0 0
"SRS023383.SRX022223" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.4594316186373 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 3.16992500144231 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS023689.SRX022223" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 8.61470984411521 8.92184093707449 2.58496250072116 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 3.70043971814109 0 0 0 0 0
"SRS023124.SRX022226" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.12928301694497 0 0 0 0 0 0 0 4.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.3037807481771 7.86418614465428 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS058681.SRX022227" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.83920378809694 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS048332.SRX022227" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SRS021127.SRX022230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0
"SRS021083.SRX022230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS020829.SRX022230" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.18982455888002 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRS020659.SRX022230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.12928301694497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.04439411935845 0 0 0 0 0 0 0 5.61470984411521 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0
"SRS021322.SRX022235" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.75488750216347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.10852445677817 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0
"SRS021682.SRX022235" 1.58496250072116 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.79441586635011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 1.58496250072116 0 0 0 0 0 0 0 0 0 6.7279204545632 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 1.58496250072116 6.12928301694497 5.12928301694497 0 0 0 0 0 0 0 0 0 0 0 0 0 4.70043971814109 0 0 0 0 0
"SRS020773.SRX022235" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3.90689059560852 7.48381577726426 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
