"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__firmus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fischeri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 3.8073549220576 0 0 0 0 0 1 0 0 0 0
"s__flavefaciens" 0 0 0 0 0 0 1 0 0 0 0 0 2.58496250072116 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2.32192809488736 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0
"s__flexus" 2.32192809488736 0 3.90689059560852 0 1 1.58496250072116 3.8073549220576 2 1.58496250072116 1.58496250072116 2 2.32192809488736 2.58496250072116 3.4594316186373 0 2 1 1 0 3.8073549220576 4.16992500144231 2.58496250072116 3.58496250072116 2 1.58496250072116 4.39231742277876 2.8073549220576 2 2.8073549220576 2.32192809488736 2 1 3.70043971814109 4.39231742277876 0 0 2.8073549220576 1 3.32192809488736 1.58496250072116 0 3.32192809488736 0
"s__formigenes" 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fragi" 1 2.8073549220576 2.8073549220576 1 2.8073549220576 6.20945336562895 0 9.93516504960369 3 8.46352437327118 0 1.58496250072116 3 4.64385618977472 1.58496250072116 4.39231742277876 2.8073549220576 2 1 1.58496250072116 6.02236781302845 3.16992500144231 2.32192809488736 2.8073549220576 2.58496250072116 5.12928301694497 1.58496250072116 0 3.32192809488736 6.06608919045777 4.08746284125034 1 1 6.76818432477693 1 2.58496250072116 6.28540221886225 2.32192809488736 5.95419631038687 8.60733031374961 1.58496250072116 6.33985000288462 0
"s__fragilis" 0 0 0 0 0 1 1 0 2.58496250072116 0 0 0 1 0 0 2.32192809488736 0 1.58496250072116 1 0 0 2.32192809488736 0 0 0 0 1 0 0 3 0 0 0 1 0 1 0 0 0 0 0 1.58496250072116 0
"s__fulvum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gargensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__garvieae" 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gelatinosus" 0 1.58496250072116 0 1 0 1 1.58496250072116 1.58496250072116 2 0 0 1.58496250072116 0 0 0 1.58496250072116 2.8073549220576 1.58496250072116 0 1.58496250072116 1 1 2 2.32192809488736 0 2 1 2 2.8073549220576 1.58496250072116 1 2.58496250072116 0 1.58496250072116 2 2 1.58496250072116 2.58496250072116 0 1 0 1 1
"s__genomosp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__genosp." 0 0 0 0 0 0 0 0 0 0 1.58496250072116 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__geothermalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gibsonii" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2.32192809488736 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 1.58496250072116 0 0 0 4.4594316186373 0 0 0 0 0 0 0 0 0
"s__ginsengihumi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gladioli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0
"s__gnavus" 1 0 6.08746284125034 0 1 3.32192809488736 0 0 0 2 0 2 6.79441586635011 2.58496250072116 0 1 1 0 0 0 0 3 1 5 2 3 1.58496250072116 1.58496250072116 0 2.32192809488736 0 0 0 3.70043971814109 0 0 1.58496250072116 0 1 0 0 1.58496250072116 2.58496250072116
"s__granuli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__granulosum" 1 0 0 1 2.58496250072116 0 3.90689059560852 6.06608919045777 0 3.58496250072116 2 0 3.4594316186373 3.58496250072116 0 0 0 0 0 2.58496250072116 2.32192809488736 0 4.08746284125034 2.32192809488736 1 0 3 4.90689059560852 2.32192809488736 2.32192809488736 1 0 3 1 0 1.58496250072116 0 1 1.58496250072116 0 2.8073549220576 2 0
"s__gubbeenense" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__guillouiae" 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__haemolyticus" 0 0 1.58496250072116 0 0 0 2.8073549220576 0 0 0 0 1 1 2.58496250072116 0 1 0 1.58496250072116 0 2.32192809488736 2 1 2.32192809488736 1 1 2 0 1 1 1.58496250072116 1 1 1 1 0 0 0 1 1.58496250072116 1.58496250072116 0 2 1
"s__haemoperoxidus" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__halodurans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__halophobica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hiranonis" 0 0 1 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 3.32192809488736 0 1.58496250072116 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"s__huakuii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__humi" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hydrocarbonoclasticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__hyovaginalis" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 1 0 1 0 0 0 1 1.58496250072116 0 0 0
"s__hypermegale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ichthyoenteri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__indoligenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__iners" 1.58496250072116 3.58496250072116 0 0 0 11.3679607096416 2 0 1 0 4.85798099512757 0 2.58496250072116 1 0 0 0 0 2.8073549220576 0 0 2.58496250072116 0 5.32192809488736 0 7.17990909001493 0 0 6.59991284218713 9.7632123668144 0 3.8073549220576 0 8.33539035469392 0 0 7.53138146051631 0 0 5.16992500144231 4.4594316186373 0 1.58496250072116
"s__infantis" 0 0 1.58496250072116 0 0 1 0 1 1 0 0 1 1.58496250072116 1.58496250072116 0 1 0 0 0 1.58496250072116 0 1 2 1 1.58496250072116 0 0 0 0 3.32192809488736 1.58496250072116 1 0 0 0 1 0 0 1 2 0 0 0
"s__influenzae" 0 0 0 0 0 1 0 0 0 0 0 0 5.24792751344359 3 0 0 0 0 0 3.70043971814109 0 6.12928301694497 0 0 2.8073549220576 0 0 0 0 0 5.70043971814109 0 0 0 0 4.8073549220576 0 0 0 0 1.58496250072116 0 0
"s__insecticola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__intermedia" 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 4.52356195605701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__intermedium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__invocatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__jenensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"s__johnsonii" 12.3888245380236 11.427312844135 11.2330204264745 13.079984707034 13.2134080408583 12.4650561678312 12.0993478104032 12.4491486453754 13.9062329675382 12.8579809951276 13.2705873404475 13.4621187980792 11.8618623400592 12.5502658068687 13.4465664090661 13.355213428116 13.5394011790281 13.7939080718143 10.5420645422834 13.6465587101545 13.3800551485449 12.1605017475557 12.0973737689902 13.079984707034 13.1085244567782 13.7224873710083 12.7858611057596 13.7974588859151 13.1584519045384 11.8008998999203 12.5715156504778 14.4961047793401 14.2338443314601 14.2535520626375 14.6474584264549 13.4887188456055 12.3578268822108 13.3445733225962 13.0282514281628 13.1484765821783 13.2548809870821 13.4712941706673 12.3370643386847
"s__kashmirensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0
"s__kestanbolensis" 0 1 0 0 0 0 1.58496250072116 0 0 2.32192809488736 2.8073549220576 0 0 1 0 3 1.58496250072116 0 1 0 3.32192809488736 0 0 0 0 0 0 0 0 0 2 2.8073549220576 0 3.8073549220576 0 0 0 0 1 0 0 0 0
"s__komagatae" 0 0 0 2.8073549220576 0 0 0 0 2.58496250072116 0 0 0 0 2 0 2.8073549220576 0 0 0 2.8073549220576 3 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 3.8073549220576 2 0 0 1.58496250072116 0 0 0 0
"s__kroppenstedtii" 0 7.40087943628218 4.90689059560852 0 9.97154355395077 4.4594316186373 0 0 0 3.58496250072116 0 0 0 11.9414144709429 6.3037807481771 8.21431912080077 0 0 7.65821148275179 1 8.28540221886225 5.8073549220576 8.12412131182919 4.32192809488736 13.5535093043092 4.58496250072116 10.129283016945 0 1.58496250072116 1 10.4998458870832 2.58496250072116 0 2 0 0 0 0 2 6.4594316186373 0 1.58496250072116 5.20945336562895
"s__kuhniae" 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"s__kujiense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lanatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 0 0 0 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0
"s__larsenii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lautus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__leguminosarum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 1.58496250072116 0 0 1.58496250072116 0 0 0
"s__lenta" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lividum" 0 0 0 0 1 1.58496250072116 0 0 0 0 1 1 0 0 1 0 0 0 0 3.32192809488736 1.58496250072116 0 0 0 0 1.58496250072116 0 0 0 0 2 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0
"s__luteciae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__luteus" 3.32192809488736 1.58496250072116 5.39231742277876 4.08746284125034 6.64385618977472 1 0 4.58496250072116 4.32192809488736 3.58496250072116 5.52356195605701 0 5.55458885167764 6.6724253419715 7.61470984411521 7.38370429247405 1 5.85798099512757 1 11.631177055704 5.7279204545632 3.90689059560852 3 2.32192809488736 5.24792751344359 6.70043971814109 5.32192809488736 3.70043971814109 6.4594316186373 5.24792751344359 5.12928301694497 1.58496250072116 4.39231742277876 9.11113567023471 7.29462074889163 4.32192809488736 6.84549005094437 7.61470984411521 6.89481776330794 9.86418614465428 3.4594316186373 2.8073549220576 5.35755200461808
"s__lwoffii" 1.58496250072116 0 0 0 1 0 0 3 0 0 2.58496250072116 0 0 0 0 0 1.58496250072116 0 0 1 5.04439411935845 0 1 1 0 2 0 0 1 2.32192809488736 2.32192809488736 1 0 4.58496250072116 4.75488750216347 2 1 1 3.32192809488736 0 0 2.32192809488736 0
"s__macerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__maitriensis" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__marcescens" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__marisflavi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__maritypicum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mastitidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mazei" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__melaninogenica" 3.58496250072116 1.58496250072116 7.38370429247405 2.8073549220576 4.95419631038687 4.16992500144231 2.58496250072116 4 3.8073549220576 3.90689059560852 2 3.58496250072116 7.8703647195834 2.8073549220576 3 4.39231742277876 5.20945336562895 6.4093909361377 2 1.58496250072116 4.39231742277876 5.7279204545632 5.04439411935845 5.70043971814109 2.8073549220576 0 5.97727992349992 1 2.32192809488736 9.63299519714296 4.52356195605701 5.88264304936184 1 1.58496250072116 1.58496250072116 7.37503943134692 7.53138146051631 3.4594316186373 6.61470984411521 6.98868468677217 3.4594316186373 4.39231742277876 5.4262647547021
"s__melopsittaci" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"s__meningoseptica" 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 2.8073549220576 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mephitis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mesenteroides" 0 0 0 0 0 3 1.58496250072116 0 0 0 0 0 2 0 0 0 1.58496250072116 0 0 0 1.58496250072116 1 3.4594316186373 0 0 0 0 0 2.58496250072116 0 0 2.8073549220576 3 1.58496250072116 0 0 1.58496250072116 0 1 1 1 0 0
"s__metschnikovii" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mexicana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0
"s__michiganensis" 0 0 2.58496250072116 0 0 0 0 2.8073549220576 0 0 0 0 1 0 0 0 0 0 0 0 2.8073549220576 0 0 0 2 1.58496250072116 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"s__mobilis" 0 0 2.8073549220576 0 0 0 0 0 0 3.32192809488736 0 1.58496250072116 0 0 0 0 3.16992500144231 0 0 1.58496250072116 2.8073549220576 0 0 0 0 0 2.32192809488736 0 0 0 1.58496250072116 0 0 0 0 1 0 0 0 0 0 0 0
"s__modestum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moniliformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moorei" 0 0 0 0 2 1.58496250072116 0 0 0 0 0 0 4.64385618977472 0 1 2.8073549220576 0 1 0 0 2.32192809488736 1 0 1 0 0 0 0 1 3.8073549220576 1.58496250072116 0 0 0 0 0 3.8073549220576 0 3.16992500144231 2.58496250072116 0 3.32192809488736 3.32192809488736
"s__morganii" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"s__mucilaginosa" 3.8073549220576 4.58496250072116 5.6724253419715 5 7.92481250360578 4.24792751344359 4.08746284125034 6.83289001416474 3 5.83289001416474 2.8073549220576 3.8073549220576 7.82654848729092 2.32192809488736 6.20945336562895 5.85798099512757 6.32192809488736 5.78135971352466 4.39231742277876 4.24792751344359 2.58496250072116 6.4594316186373 6.95419631038687 4.16992500144231 5.6724253419715 5.24792751344359 7.92481250360578 3.8073549220576 3.58496250072116 8.61102479730735 8.26209484537018 5.70043971814109 6.10852445677817 7.27612440527424 3.8073549220576 6.53915881110803 7.21916852046216 0 8.76818432477693 8.7714894695006 6.33985000288462 3.58496250072116 4.90689059560852
"s__muciniphila" 1 0 2.58496250072116 1 1 1 0 0 4.75488750216347 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.58496250072116 1 0 0
"s__mucosa" 0 0 0 0 0 0 3.90689059560852 0 0 2.8073549220576 0 0 2 0 0 2 0 0 1 0 2.8073549220576 1 0 0 0 2.32192809488736 0 2.32192809488736 0 2.58496250072116 0 1.58496250072116 0 0 2.58496250072116 0 0 0 3.58496250072116 2.8073549220576 0 0 0
"s__mucosae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multivorum" 0 0 0 0 0 3.8073549220576 1.58496250072116 0 0 0 0 0 0 3 0 0 1.58496250072116 0 0 2.32192809488736 0 0 1.58496250072116 1 0 0 0 0 0 1 0 2.8073549220576 3.8073549220576 0 0 1.58496250072116 3.8073549220576 0 0 0 0 0 0
"s__multocida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0
"s__muralis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nanceiensis" 0 1 4.16992500144231 0 0 3.70043971814109 3.70043971814109 0 3.4594316186373 0 2.58496250072116 1 6.7279204545632 0 3 0 0 0 0 0 3.8073549220576 5.90689059560852 0 4.4594316186373 2.58496250072116 0 0 3.58496250072116 0 7.08746284125034 4.64385618977472 4.39231742277876 3 4 0 2.8073549220576 4 0 5.83289001416474 4.70043971814109 0 1 4.08746284125034
"s__natatoria" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"s__neonatale" 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nigrescens" 2 0 3.16992500144231 0 2.32192809488736 4.58496250072116 0 2.58496250072116 1 0 0 0 5.52356195605701 0 0 2.8073549220576 0 1 1.58496250072116 0 1 0 2 3.16992500144231 2.32192809488736 0 3 0 0 6.18982455888002 0 0 0 0 0 0 4.16992500144231 0 0 3.8073549220576 0 4.70043971814109 6.28540221886225
"s__nitroreducens" 5.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0
"s__noxia" 0 0 0 0 1.58496250072116 0 0 3.4594316186373 0 0 0 0 1.58496250072116 2 0 0 0 0 1 0 0 1 0 1 1.58496250072116 0 0 0 0 3.90689059560852 0 0 4.24792751344359 0 0 0 1.58496250072116 2 2.32192809488736 4.4594316186373 0 4.08746284125034 6.10852445677817
"s__obscurus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ochracea" 0 0 2 0 0 1 0 3.16992500144231 0 2 0 0 2.32192809488736 0 0 0 0 0 0 0 0 2.58496250072116 0 3.4594316186373 0 0 3 2.8073549220576 2.32192809488736 3 0 0 4.58496250072116 0 5.7279204545632 0 0 0 1 4 1.58496250072116 2.8073549220576 4.32192809488736
"s__odoratimimus" 0 0 0 2.32192809488736 0 0 0 0 0 1 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3.4594316186373 0 0 3.4594316186373 0 0 0 0 0 0 0 0
"s__organophilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__otitis" 0 0 0 0 2 2.32192809488736 0 0 0 2 0 1 0 0 0 0 0 0 0 5.58496250072116 0 0 0 0 0 0 2 4 3.32192809488736 2.32192809488736 2.32192809488736 0 0 0 0 0 0 0 0 1 0 3.16992500144231 0
"s__ovatus" 2.32192809488736 1 4.75488750216347 1 2 1 2.32192809488736 0 0 0 0 2 5.12928301694497 0 0 0 1 0 0 0 0 2.8073549220576 1 0 0 0 2.32192809488736 0 0 3.16992500144231 2.32192809488736 1 0 2 0 0 0 0 0 1 0 2.8073549220576 0
"s__p.1630.c5" 0 0 0 0 0 0 0 0 0 0 0 0 4.16992500144231 3.58496250072116 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pachnodae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pallens" 0 0 1.58496250072116 0 1 1.58496250072116 0 1.58496250072116 0 0 0 2.32192809488736 3.90689059560852 2.32192809488736 0 0 4.08746284125034 4.39231742277876 0 0 2.32192809488736 1 2.32192809488736 3.4594316186373 1.58496250072116 0 0 0 0 6.10852445677817 1 3.8073549220576 0 3.70043971814109 0 4.24792751344359 4.58496250072116 2.58496250072116 5.90689059560852 2.32192809488736 0 0 3.32192809488736
"s__palleronii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__palustris" 0 0 1 0 0 0 0 0 0 1.58496250072116 0 0 0 0 1.58496250072116 0 0 0 0 1 0 1.58496250072116 0 0 0 1.58496250072116 0 0 0 0 1 1 0 1.58496250072116 1 0 0 0 2 2.58496250072116 0 0 0
"s__paradoxus" 1 0 3 0 1 0 0 2 1.58496250072116 0 2 0 0 1.58496250072116 0 0 9.35314682549808 1.58496250072116 0 3.32192809488736 3.4594316186373 0 0 2.32192809488736 1 4.16992500144231 0 0 0 2.8073549220576 3.16992500144231 0 3.32192809488736 5.24792751344359 0 0 0 0 0 0 0 0 1
"s__parahaemolyticus" 1.58496250072116 0 0 0 0 0 0 0 2 0 0 0 4.32192809488736 0 2.32192809488736 0 5.04439411935845 2.8073549220576 0 0 0 0 4.58496250072116 1 5.04439411935845 0 0 0 3.32192809488736 0 2.58496250072116 0 0 1 0 7.14974711950468 2.58496250072116 3 1.58496250072116 5.08746284125034 0 0 0
