"Hallets.Forehead" "Postscript.Forehead" "Starratt.Forehead" "Coachmen.Forehead" "Gibbon.Forehead" "Trimmer.Forehead" "Innitou.Forehead" "Tewmac.Forehead" "Cochituate.Forehead" "Mariposa.Forehead" "Wilbraview.Forehead" "Caryll.Forehead" "Westbora.Forehead" "Janis.Forehead" "Pinrock.Forehead" "Elmavenue.Forehead" "Shadyside.Forehead" "Loveland.Forehead" "Cornstalk.Forehead" "Hager.Forehead" "Nobscot.Forehead" "Lonergan.Forehead" "Lippokd.Forehead" "Malfa.Forehead" "Merchants.Forehead" "Flagstone.Forehead" "Sylvanus.Forehead" "Fermanagh.Forehead" "Winifreds.Forehead" "Woodfin.Forehead" "Reacher.Forehead" "Netta.Forehead" "Goddu.Forehead" "Azalea.Forehead" "Patmos.Forehead" "Trafford.Forehead" "Vinedale.Forehead" "Padanaram.Forehead" "Innkeeper.Forehead" "Cowan.Forehead" "Watoguadoc.Forehead" "Meadowlands.Forehead" "Pasho.Forehead"
"s__anaerobius" 0 0 0 0 0 7.54689445988764 0 0 0 0 0 0 2.8073549220576 0 3.58496250072116 5.88264304936184 0 0 0 0 1 0 0 2.58496250072116 0 0 4.52356195605701 0 0 2.58496250072116 0 0 0 0 0 0 2.8073549220576 0 1 1.58496250072116 0 0 0
"s__andropogonis" 0 1 1 0 1 0 1 0 1.58496250072116 0 0 1 1 1 1 1 2 1 0 0 1 0 0 0 0 1 0 1.58496250072116 0 0 0 2 0 2.8073549220576 1.58496250072116 0 0 1 1.58496250072116 0 0 0 0
"s__anginosus" 1 0 2 0 0 4.58496250072116 0 0 0 0 1 1.58496250072116 2.8073549220576 0 1 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0 4.52356195605701 6 0 0 0 0 1.58496250072116 1 0 5.12928301694497 2.58496250072116 2 4.08746284125034 1.58496250072116
"s__animalis" 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 4.95419631038687 0
"s__aquatilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__arupense" 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0
"s__arvensicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__asini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__aureum" 2 0 2 0 0 1.58496250072116 0 0 4.4594316186373 0 0 4 1.58496250072116 2 2 0 1 0 0 0 3.70043971814109 0 0 2 0 0 1 0 3.70043971814109 2.8073549220576 0 3.16992500144231 0 1 3.70043971814109 0 6.28540221886225 0 1 3 0 0 0
"s__aureus" 3.90689059560852 1.58496250072116 5.90689059560852 0 2.58496250072116 3.70043971814109 5.64385618977472 4 4.58496250072116 2.58496250072116 2.32192809488736 3.70043971814109 4.64385618977472 4.90689059560852 3.16992500144231 3.58496250072116 0 4.32192809488736 1.58496250072116 5.85798099512757 5.93073733756289 4 5.28540221886225 3.8073549220576 4 5.55458885167764 4.16992500144231 4.58496250072116 3.8073549220576 5.61470984411521 4 2 2 4.58496250072116 1 3.32192809488736 3.4594316186373 4.58496250072116 5.20945336562895 4.52356195605701 3.4594316186373 5.95419631038687 1.58496250072116
"s__aurum" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__autotrophicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
