"Salti.Forehead" "Northwind.Forehead" "Stannes.Forehead" "Dias.Forehead" "Caravel.Forehead" "Buckinghan.Forehead" "Willowbe.Forehead" "Misty.Forehead" "Nyack.Forehead" "Bulls.Forehead" "Delmore.Forehead" "Elmira.Forehead" "Bjorkland.Forehead" "Overton.Forehead" "Charmark.Forehead" "Erlandson.Forehead" "Edenfield.Forehead" "Maryjane.Forehead" "Gigi.Forehead" "Devenwood.Forehead" "Zambom.Forehead" "Sandale.Forehead" "Foothill.Forehead" "Cedarhurst.Forehead" "Quinapoxet.Forehead" "Digregorio.Forehead" "Lassell.Forehead" "Balcom.Forehead" "Witch.Forehead" "Ronald.Forehead" "Eisenhower.Forehead" "Noel.Forehead" "Purchade.Forehead" "Slades.Forehead" "Burne.Forehead" "Bows.Forehead" "Brae.Forehead" "Claudett.Forehead" "Milne.Forehead" "Barefoot.Forehead" "Larcridge.Forehead" "Menekish.Forehead" "January.Forehead"
"s__fragi" 3.32192809488736 3.90689059560852 1 2.8073549220576 1.58496250072116 1.58496250072116 0 2.58496250072116 6.62935662007961 0 2.8073549220576 3.32192809488736 9.10590850857116 0 3 0 2.32192809488736 0 4.75488750216347 0 2 1.58496250072116 3.32192809488736 6.02236781302845 3.32192809488736 6.98868468677217 2.32192809488736 3.4594316186373 1 0 0 2 3.16992500144231 0 1.58496250072116 6.76818432477693 0 2 0 0 2.8073549220576 0 0
"s__fragilis" 1 0 0 1 1 1.58496250072116 0 1 0 0 3 1.58496250072116 0 1 0 0 0 0 1 0 0 1 0 1 4 0 2 1 1 0 1 1 1 1.58496250072116 0 0 0 1 0 0 1.58496250072116 0 0
"s__fulvum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__fusca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gargensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0
"s__garvieae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gelatinosus" 0 0 2.58496250072116 1.58496250072116 1 2.32192809488736 2.32192809488736 1 0 2 2 1 1 1.58496250072116 2 2 2 2.32192809488736 0 2 1.58496250072116 0 0 1 1 1 2 1.58496250072116 1 1 2 1 1 1 0 1 0 2.32192809488736 0 1 2.32192809488736 1 0
"s__genomosp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__genosp." 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0
"s__geothermalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gibsonii" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ginsengihumi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gladioli" 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__gnavus" 0 1 0 0 0 0 0 1.58496250072116 0 0 3.32192809488736 0 1 0 0 2 1 0 0 1 0 3.4594316186373 3.16992500144231 4.32192809488736 0 0 0 2.58496250072116 2.58496250072116 2.32192809488736 0 0 2 0 0 2 0 0 1 1 2 0 0
"s__granuli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__granulosum" 1 0 2 0 1 0 1.58496250072116 4 0 0 3.58496250072116 0 2.32192809488736 1.58496250072116 0 0 4 2.32192809488736 0 1 3.16992500144231 2.32192809488736 2.58496250072116 2.8073549220576 3.90689059560852 0 1.58496250072116 1.58496250072116 0 0 0 3.90689059560852 0 1 0 2.8073549220576 3.90689059560852 1 0 0 1.58496250072116 0 2
"s__gubbeenense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__guillouiae" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"s__haemolyticus" 0 0 2 0 2 0 1 2 0 1.58496250072116 2.8073549220576 1 2.8073549220576 0 0 0 1.58496250072116 0 0 0 0 2 2.32192809488736 0 0 1 0 0 0 0 0 2.58496250072116 0 1 0 2 0 0 0 0 2 0 0
"s__haemoperoxidus" 0 0 0 1.58496250072116 0 0 0 0 0 0 0 1 0 2.58496250072116 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__halodurans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__halophobica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hiranonis" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3.90689059560852 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__huakuii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__humi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hydrocarbonoclasticus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__hyovaginalis" 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"s__hypermegale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__ichthyoenteri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__indoligenes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0
"s__iners" 0 0 2.8073549220576 5.32192809488736 0 0 0 2.32192809488736 0 2 1 5.04439411935845 4.08746284125034 2 0 0 1 0 1.58496250072116 0 0 3.16992500144231 2 0 0 0 0 0 0 0 0 0 0 0 0 5.70043971814109 0 3.70043971814109 0 2.32192809488736 8.7176764230664 0 0
"s__infantis" 2.58496250072116 2.58496250072116 1.58496250072116 2.32192809488736 0 1 0 1 0 0 1 0 0 2.58496250072116 1 2.58496250072116 1 1 1 0 0 1.58496250072116 1 1.58496250072116 0 0 1.58496250072116 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__influenzae" 1 0 0 0 0 0 0 0 0 0 1 4.75488750216347 0 0 0 8.10852445677817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8073549220576 0 0 0 0 4.08746284125034 0 0 0 0 0 0 0
"s__insecticola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__intermedia" 0 0 0 0 3.70043971814109 0 0 0 0 3.32192809488736 0 0 2.32192809488736 0 0 0 0 4.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2.58496250072116 0 0 0 0 0 0 0
"s__intermedium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__invocatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4594316186373 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__jenensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__johnsonii" 11.7553048882624 11.8719052376592 13.7301516731733 13.137471503352 13.5868397879618 13.1722712290547 14.3328757311527 12.6073303137496 12.8938703047851 13.5364900731992 13.3484515374071 13.4998458870832 12.5533893047216 12.5622424242211 14.3527331494979 13.0833131086508 13.7963438571963 14.5245417150358 11.0063260785249 14.1682803688587 13.4381420777437 10.7976615258538 13.0363453517407 11.8336807486547 13.486835021563 12.3125993788626 13.7350270798026 13.7197096693902 12.8986013874039 13.9260179563565 14.4404150104652 12.3459595964041 11.8447057644119 13.1739893741665 13.6697708885255 12.9006781587434 13.0024634388925 13.9897492754621 12.9406806484241 14.5871328935562 13.5437568533759 13.5511074140668 12.1611318829843
"s__kashmirensis" 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__kestanbolensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 2 0 0 0 2.58496250072116 2 3 0 0 1 0 3 1 0 0 0 3 0 1 1.58496250072116 0 0 2 0 0 0
"s__komagatae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3.16992500144231 0 0 2.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0
"s__kroppenstedtii" 5.78135971352466 7.4757334309664 3.90689059560852 1 0 0 2.8073549220576 3.90689059560852 0 2.8073549220576 2 6.3037807481771 3.58496250072116 3.16992500144231 1.58496250072116 0 0 0 11.0306671362469 4.90689059560852 0 7.53915881110803 0 10.6537407787066 0 8.27146302790437 0 0 0 0 0 0 7.18982455888002 0 0 1.58496250072116 3.90689059560852 10.5961897561444 11.047123912114 0 0 1 13.6345841934937
"s__kuhniae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.20945336562895 0 0 0 0 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 0 0
"s__kujiense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lanatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__larsenii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lautus" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__leguminosarum" 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lenta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__lividum" 0 1 1 2 0 1 1 0 1 1.58496250072116 0 0 0 0 0 0 0 0 1 0 0 0 1 1.58496250072116 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0
"s__luteciae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__luteus" 4.95419631038687 3 3.8073549220576 2 1.58496250072116 4.95419631038687 6.06608919045777 3.16992500144231 3.70043971814109 12.1195896207411 3.70043971814109 6 6.2667865406949 0 7.52356195605701 3 5.12928301694497 0 4.08746284125034 0 1 1 6.94251450533924 4.8073549220576 7.35755200461808 2 4.4594316186373 2 5.90689059560852 2.8073549220576 2.8073549220576 3.90689059560852 2 2.8073549220576 0 0 9.38801728534514 4 3.4594316186373 5 5.95419631038687 0 0
"s__lwoffii" 0 4.52356195605701 0 2 0 0 0 0 0 1 0 1 1.58496250072116 2.32192809488736 1 1.58496250072116 0 0 0 0 0 0 0 8.98299357469431 0 0 0 2 0 4.08746284125034 0 1 1 0 1.58496250072116 0 0 0 0 0 0 0 0
"s__macerans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__maitriensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__marcescens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2.8073549220576 0 0 0 0 0 0 0
"s__marisflavi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__maritypicum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mastitidis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mazei" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__melaninogenica" 4.64385618977472 10.0728025345442 5.32192809488736 6.83289001416474 4.08746284125034 0 5.12928301694497 7.59245703726808 5.08746284125034 7.94251450533924 3.8073549220576 4.08746284125034 2.8073549220576 11.4496645384762 5.4594316186373 7.68650052718322 5.49185309632967 6.64385618977472 0 2.8073549220576 1 5.95419631038687 1 6.79441586635011 3.32192809488736 3.8073549220576 5.85798099512757 6.10852445677817 2 1 5.28540221886225 4.08746284125034 2 4.39231742277876 2 6.10852445677817 0 1 2 6.24792751344359 2.32192809488736 2.58496250072116 2
"s__melopsittaci" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__meningoseptica" 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mephitis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mesenteroides" 0 0 0 1 0 0 0 3.70043971814109 3.4594316186373 0 2 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.85798099512757 0 0 0 0 2.8073549220576 0 0
"s__metschnikovii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mexicana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__michiganensis" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 2.58496250072116 0 0 0 0 0 3 0 0 0 0 0 0 3.16992500144231 2 0 0 0 0 0 0
"s__mobilis" 1.58496250072116 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1.58496250072116 0 0 1.58496250072116 0 0 2.32192809488736 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 0
"s__modestum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moniliformis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__moorei" 0 6.7279204545632 2.58496250072116 5.16992500144231 0 0 0 1 3.70043971814109 0 4.39231742277876 2 0 7.98299357469431 2.32192809488736 0 2 0 0 0 0 3 0 2.8073549220576 0 0 1.58496250072116 0 0 0 0 2.32192809488736 0 0 0 0 0 0 1.58496250072116 4.39231742277876 0 1 0
"s__morganii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__mucilaginosa" 5.64385618977472 2.32192809488736 4.4594316186373 5.85798099512757 6.4262647547021 1.58496250072116 4.4594316186373 4.16992500144231 5.24792751344359 8.14465824283188 7.92481250360578 7.23840473932508 3.4594316186373 9.87344411251538 4.39231742277876 7.59245703726808 7.31288295528436 5.04439411935845 1.58496250072116 3.58496250072116 6.65821148275179 7.876516946565 4.90689059560852 5.08746284125034 4.95419631038687 4.75488750216347 7.13955135239879 5.32192809488736 4.52356195605701 4.64385618977472 2.58496250072116 4.85798099512757 3.4594316186373 5.4594316186373 0 3.16992500144231 0 5.55458885167764 2.32192809488736 5.75488750216347 4.64385618977472 1 2
"s__muciniphila" 0 0 0 0 4.52356195605701 3 0 3.4594316186373 1 0 0 0 0 0 1 0 0 0 0 0 3.16992500144231 0 1 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"s__mucosa" 0 0 2.32192809488736 0 0 4.32192809488736 3.4594316186373 0 0 0 0 0 0 0 3.16992500144231 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 5.83289001416474 0 4.24792751344359 0 0 0 0
"s__mucosae" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__multivorum" 0 0 0 0 0 3 0 1 0 0 4.90689059560852 1.58496250072116 0 0 2 0 1 0 0 2 0 0 0 5.4262647547021 0 0 0 0 1 4.75488750216347 0 2 0 2 0 4.24792751344359 0 0 2.58496250072116 0 1.58496250072116 0 0
"s__multocida" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3.70043971814109 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__muralis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.16992500144231 0 0
"s__nanceiensis" 3 2 2 0 3.70043971814109 1 3.90689059560852 1.58496250072116 0 0 3.70043971814109 0 3.4594316186373 7.09803208296053 3.58496250072116 6.56985560833095 5.12928301694497 0 0 0 0 5 0 2.58496250072116 0 3.32192809488736 2.8073549220576 0 0 0 3.90689059560852 0 0 1.58496250072116 0 1 0 0 0 3.90689059560852 1 0 0
"s__natatoria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__neonatale" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__nigrescens" 3.8073549220576 9.21431912080077 2.8073549220576 5.4262647547021 4.75488750216347 1.58496250072116 3.4594316186373 3.58496250072116 3 5.12928301694497 2.58496250072116 4.64385618977472 1 2.58496250072116 3.4594316186373 5 2 0 0 0 0 6.39231742277876 0 4.8073549220576 0 0 4.08746284125034 0 0 0 0 0 1 0 2 1 0 0 0 2 3.16992500144231 0 0
"s__nitroreducens" 0 2 0 0 0 0 0 0 0 0 0 5.35755200461808 1.58496250072116 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.20945336562895 0 0 0 0 0 0
"s__noxia" 0 10.1623913287569 1.58496250072116 3.58496250072116 2.32192809488736 0 0 3.90689059560852 3.16992500144231 0 3 0 0 0 3.32192809488736 4.16992500144231 0 0 0 0 0 4.32192809488736 0 2 0 0 2 0 0 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__obscurus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"s__ochracea" 2.58496250072116 9.04712391211403 2.8073549220576 5.04439411935845 3.16992500144231 0 0 4.64385618977472 4.64385618977472 2.32192809488736 0 0 3 0 0 0 3.58496250072116 2.32192809488736 1 0 0 2.58496250072116 0 2.58496250072116 0 0 0 2 1.58496250072116 0 2.32192809488736 0 1.58496250072116 2 0 1.58496250072116 0 1.58496250072116 0 0 1 0 0
"s__odoratimimus" 0 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 0 0 2.58496250072116 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2.32192809488736 0 0 0 1 0 1
"s__organophilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__otitis" 0 0 0 3.32192809488736 0 0 0 0 0 0 0 0 0 0 4.58496250072116 3.16992500144231 0 0 0 0 0 7.91288933622996 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"s__ovatus" 0 1.58496250072116 0 0 1 0 1 2.58496250072116 0 0 1 1 0 0 0 0 0 1 0 0 1.58496250072116 0 1 0 0 0 3.16992500144231 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0
"s__p-1630-c5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pachnodae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__pallens" 2.58496250072116 2.32192809488736 2 1.58496250072116 0 0 4.16992500144231 3.58496250072116 4 5.70043971814109 4.39231742277876 1 1.58496250072116 9.07948478382682 2.58496250072116 3.32192809488736 2.32192809488736 3.4594316186373 0 0 0 1.58496250072116 0 2.58496250072116 1 0 4.16992500144231 0 0 0 0 2.58496250072116 0 0 0 3.32192809488736 0 0 0 3 0 0 0
"s__palleronii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__palustris" 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1.58496250072116 1 0 1 0 1 0 0
"s__paradoxus" 1 1 3.58496250072116 0 0 2.58496250072116 0 2.8073549220576 0 2.58496250072116 0 5.78135971352466 1.58496250072116 0 3.32192809488736 0 1 0 0 0 2.32192809488736 2.32192809488736 3.58496250072116 2.58496250072116 1 0 1 0 3 4.85798099512757 0 1 2 0 0 0 0 0 0 3.58496250072116 3.8073549220576 0 0
"s__parahaemolyticus" 1 0 0 0 0 0 0 3.16992500144231 0 0 0 0 1 2.58496250072116 0 5.85798099512757 0 0 0 2.8073549220576 0 0 0 1 0 2.32192809488736 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"s__parainfluenzae" 9.66355810421727 8.6724253419715 9.50581155391959 8.4757334309664 7.06608919045777 2 7.29462074889163 6.10852445677817 4.52356195605701 8.4178525148859 9.08746284125034 7.27612440527424 7.54689445988764 10.9476369379518 4.70043971814109 11.7797193551434 7.39231742277876 6.4093909361377 5.97727992349992 6.6724253419715 6.04439411935845 9.46352437327118 7.4178525148859 5.20945336562895 7.21916852046216 5.12928301694497 9.75822321472672 7.45121111183233 6.37503943134692 5.12928301694497 6.71424551766612 6.08746284125034 4.39231742277876 4.90689059560852 4.32192809488736 5.08746284125034 2 5.20945336562895 3.90689059560852 6.94251450533924 4 3 4.70043971814109
"s__parvula" 7.21916852046216 7.31288295528436 5.28540221886225 8.02790599656988 5.4262647547021 0 5.52356195605701 5.58496250072116 3.90689059560852 5.4594316186373 5.90689059560852 5.70043971814109 5.16992500144231 9.46964181723952 4.64385618977472 8.26209484537018 5.58496250072116 0 1.58496250072116 0 0 6.71424551766612 4.24792751344359 6.79441586635011 5.4594316186373 3 5.4262647547021 3.4594316186373 5 5.24792751344359 5.20945336562895 4.16992500144231 2 4.90689059560852 1.58496250072116 4.4594316186373 2 1 1 6.8073549220576 4.90689059560852 2.32192809488736 1
"s__pasteurianum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__paucivorans" 0 0 0 0 0 0 0 6.59991284218713 0 0 0 0 2 2.32192809488736 0 0 0 1 0 0 0 1 0 3.70043971814109 0 0 0 0 0 0 0 0 4 1.58496250072116 0 0 0 0 0 2.32192809488736 0 0 0
"s__perfringens" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"s__petroleiphilum" 0 3 0 0 2 2 0 0 0 1 0 0 0 2.58496250072116 1 0 0 0 0 0 2.32192809488736 0 0 0 0 1 4.52356195605701 0 1 0 0 1.58496250072116 0 0 0 0 0 0 0 0 0 0 0
"s__pettenkoferi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"s__plebeius" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58496250072116 0 0
